Index,Dish Name,Base,Cooking Time,Calories per Serving,Ingredients & Quantity,Level of Cost,Dosage Size
54,Tagliatelle all'arancia,Tagliatelle [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,470 per serving, - Orange Juice [200][ml] - Orange Zest [1] - Butter [50][g] - Shallot [1] - Cream [100][ml] - Parmesan Cheese  [50][g] - Salt [to taste] - Black Pepper [to taste],Medium,4
55,Pasta alla checca,Penne [400][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,450 per serving, - Tomatoes  [500][g] - Mozzarella  [200][g] - Garlic [1][clove] - Extra Virgin Olive Oil [50][ml] - Basil [to taste] - Salt [to taste] - Black Pepper [to taste],Low,4
56,Fettuccine alla crema di gamberetti e brandy,Fettuccine [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,540 per serving, - Prawns  [300][g] - Garlic [1][clove] - Brandy [50][ml] - Cream [100][ml] - Tomato Paste [1][tbsp] - Parsley [to taste] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
57,Fettuccine Alfredo,Fettuccine [350][g],Preparation: 10 minutes Cooking: 15 minutes Total: 25 minutes,510 per serving, - Butter [100][g] - Parmesan Cheese  [100][g] - Cream [50][ml] - Salt [to taste] - Black Pepper [to taste],Medium,4
58,Bavette al pesto,Bavette [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,500 per serving, - Pesto  [150][g],Medium,4
59,Ravioli di ricotta sardi,Ravioli [400][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,480 per serving, - Semolina Flour [300][g] - Salt [to taste] - Sheep's Milk Ricotta [500][g] - Saffron [1][pinch] - Lemon Zest [1] - Sugar [50][g],Medium,4
60,Ravioli del plin,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,530 per serving, - Flour [00][300g] - Eggs [13] - Beef  [150][g] - Pork  [100][g] - Spinach  [100][g] - Parmesan Cheese  [50][g] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste],High,4
61,Pasta alla marinara,Spaghetti [400][g],Preparation: 10 minutes Cooking: 20 minutes Total: 30 minutes,480 per serving, - Peeled Tomatoes [700][g] - Garlic [2][cloves] - Mussels [680][g] - Extra Virgin Olive Oil [4][tbsp] - Parsley [1][bunch] - Basil [to taste] - Clams [740][g] - Salt [to taste] - Black Pepper [to taste] - Scallops [340][g] - Shrimps [190][g] - King prawns [200][g],Low,4
62,Fettuccine alla papalina,Fettuccine [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,540 per serving, - Prosciutto Crudo  [100][g] - Peas  [100][g] - Onions [1] - Butter [50][g] - Eggs [3] - Parmesan Cheese  [50][g] - Cream [50][ml] - Salt [to taste] - Black Pepper [to taste],Medium,4
63,Pasta con broccoli arriminati,Bucatini [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,470 per serving, - Broccoli [1][kg] - Onions [1] - Anchovy Fillets in Oil [4] - Raisins [50][g] - Pine Nuts [30][g] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
64,Tortelli di zucca burro e salvia,Tortelli [400][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,500 per serving, - Flour [00][500g] - Eggs [5] - Pumpkin  [1][kg] - Amaretti Cookies [150][g] - Parmesan Cheese [100][g] - Mostarda Cremonese [100][g] - Nutmeg [to taste] - Salt [to taste] - Butter [100][g] - Sage [to taste],Medium,4
65,Spaghetti con cozze e pomodorini,Spaghetti [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,530 per serving, - Mussels [1][kg] - Cherry Tomatoes [250][g] - Garlic [2][cloves] - Parsley [1][bunch] - White Wine [50][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
66,Pasta e fagioli con pancetta,Ditalini [300][g],Preparation: 20 minutes Cooking: 40 minutes Total: 60 minutes,520 per serving, - Dried Borlotti Beans [350][g] - Pancetta  [100][g] - Celery [1][stalk] - Carrots [1] - Onions [1] - Garlic [1][clove] - Extra Virgin Olive Oil [4][tbsp] - Tomato Paste [2][tbsp] - Vegetable Broth [1.5][l] - Rosemary [1][sprig] - Salt [to taste] - Black Pepper [to taste],Low,4
67,Pasta alla Norma leggera,Penne [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,480 per serving, - Eggplants [2] - Tomatoes [1][kg] - Garlic [2][cloves] - Basil [to taste] - Salt [to taste] - Extra Virgin Olive Oil [for frying] - Salted Ricotta Cheese [100][g],Low,4
68,Gnocchi alla parigina,Gnocchi [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,620 per serving, - Milk [500][ml] - Flour [150][g] - Butter [100][g] - Eggs [4] - Parmesan Cheese  [100][g] - Salt [to taste] - Black Pepper [to taste] - Nutmeg [to taste],Medium,4
69,Pasta 'ncasciata messinese,Rigatoni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,640 per serving, - Ground Beef [300][g] - Ground Pork [200][g] - Eggplants [2] - Peeled Tomatoes [700][g] - Onions [1] - Caciocavallo Cheese [200][g] - Salami  [100][g] - Eggs [2] - Red Wine [100][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste] - Breadcrumbs [to taste],High,4
70,Pasta cacio e ova,Spaghetti [400][g],Preparation: 10 minutes Cooking: 10 minutes Total: 20 minutes,470 per serving, - Eggs [4] - Pecorino Romano Cheese  [150][g] - Extra Virgin Olive Oil [2][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
71,Gnocchi alla bava,Gnocchi [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,580 per serving, - Fontina Cheese  [200][g] - Butter [50][g] - Cream [100][ml],Medium,4
72,Ravioli con brodo di cappone,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,500 per serving, - Flour [00][300g] - Eggs [3] - Capon  [1][whole] - Carrots [2] - Celery [2][stalks] - Onions [2] - Parmesan Cheese  [100][g] - Cooked Ham [100][g] - Mortadella [100][g] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste],Medium,4
73,Pappardelle ai funghi porcini,Pappardelle [350][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,560 per serving, - Porcini Mushrooms  [400][g] - Garlic [1][clove] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
74,Spaghetti all'acqua pazza,Spaghetti [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,480 per serving, - Sea Bass  [2][medium] - Cherry Tomatoes [250][g] - Garlic [1][clove] - Parsley [1][bunch] - White Wine [100][ml] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
75,Rigatoni con la pajata,Rigatoni [400][g],Preparation: 15 minutes Cooking: 25 minutes Total: 40 minutes,520 per serving, - Veal Intestines  [600][g] - Peeled Tomatoes [500][g] - Onions [1] - Celery [1][stalk] - White Wine [100][ml] - Extra Virgin Olive Oil [3][tbsp] - Pecorino Romano Cheese  [to taste] - Salt [to taste] - Black Pepper [to taste],High,4
76,Linguine vongole e bottarga,Linguine [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,600 per serving, - Clams [1][kg] - Garlic [2][cloves] - Extra Virgin Olive Oil [4][tbsp] - Parsley [1][bunch] - Bottarga  [50][g] - White Wine [50][ml] - Salt [to taste] - Black Pepper [to taste],High,4
77,Genovese di polpo,Ziti [400][g],Preparation: 30 minutes Cooking: 3 hours Total: 3 hours 30 minutes,580 per serving, - Octopus [1][kg] - Onions  [1.5][kg] - Carrots [2] - Celery [2][stalks] - White Wine [100][ml] - Extra Virgin Olive Oil [5][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
78,Cannelloni alla napoletana,Cannelloni [400][g],Preparation: 30 minutes Cooking: 40 minutes Total: 70 minutes,650 per serving, - Ground Beef [300][g] - Tomato Sauce [700][g] - Mozzarella [250][g] - Ricotta [250][g] - Parmesan Cheese  [100][g] - Eggs [2] - Onions [1] - Carrots [1] - Celery [1][stalk] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste] - Nutmeg [to taste] - Milk [500 ml] - Butter [50 g] - Flour [50 g] - Nutmeg - Salt,High,4
79,Gnocchi di malga,Gnocchi [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,620 per serving, - Ricotta [250][g] - Flour [100][g] - Eggs [1] - Butter [50][g] - Parmesan Cheese  [50][g] - Sage [to taste] - Salt [to taste] - Black Pepper [to taste],High,4
80,Pappardelle al ragù di capriolo,Pappardelle [350][g],Preparation: 30 minutes Cooking: 1 hour Total: 1 hour 30 minutes,720 per serving, - Roe Deer Meat  [500][g] - Red Wine [200][ml] - Onions [1] - Carrots [1] - Celery [1][stalk] - Juniper Berries [5] - Cloves [2] - Bay Leaf [1] - Tomato Paste [1][tbsp] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
81,Spaghetti alle vongole e limone,Spaghetti [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,520 per serving, - Clams [1][kg] - Garlic [2][cloves] - Lemon Zest [1] - Lemon Juice [1] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
82,Strangozzi alla spoletina,Strangozzi [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,470 per serving, - Black Truffle  [50][g] - Garlic [1][clove] - Extra Virgin Olive Oil [4][tbsp] - Anchovy Fillets in Oil [2] - Salt [to taste],Low,4
83,Penne alla vodka,Penne [350][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,520 per serving, - Onions [1] - Garlic [1][clove] - Vodka [50][ml] - Cream [100][ml] - Tomato Paste [1][tbsp] - Extra Virgin Olive Oil [2][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
84,Ravioli ris e coi,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,500 per serving, - Arborio Rice [200][g] - Savoy Cabbage [500][g] - Onions [1] - Butter [50][g] - Vegetable Broth [500][ml] - Parmesan Cheese  [50][g] - Flour [00][200g] - Eggs [2] - Salt [to taste] - Black Pepper [to taste],Medium,4
85,Pappardelle con la lepre,Pappardelle [350][g],Preparation: 30 minutes Cooking: 1 hour Total: 1 hour 30 minutes,720 per serving, - Hare Meat  [500][g] - Red Wine [200][ml] - Onions [1] - Carrots [1] - Celery [1][stalk] - Juniper Berries [5] - Cloves [2] - Bay Leaf [1] - Tomato Paste [1][tbsp] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
86,Ravioli di castagne e salsiccia,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,600 per serving, - Chestnuts  [250][g] - Sausage [150][g] - Onions [1] - Parmesan Cheese  [50][g] - Eggs [1] - Flour [00][200g] - Butter [50][g] - Sage [to taste] - Salt [to taste] - Black Pepper [to taste],Medium,4
87,Spaghetti alla chitarra con le pallottine,Spaghetti [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,580 per serving, - Ground Beef [200][g] - Ground Pork [100][g] - Eggs [1] - Breadcrumbs [50][g] - Parmesan Cheese  [50][g] - Parsley [to taste] - Garlic [1][clove] - Peeled Tomatoes [500][g] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
88,Spaghetti con pesto alla trapanese,Spaghetti [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,500 per serving, - Almonds [100][g] - Tomatoes  [300][g] - Basil [1][bunch] - Garlic [1][clove] - Pecorino Romano Cheese  [50][g] - Extra Virgin Olive Oil [100][ml] - Salt [to taste] - Black Pepper [to taste],Medium,4
89,Spaghetti con gli scampi,Spaghetti [350][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,540 per serving, - Prawns [500][g] - Garlic [2][cloves] - Cherry Tomatoes [250][g] - White Wine [50][ml] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
90,Fusilli all'ortolana,Fusilli [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,480 per serving, - Zucchini [2] - Eggplants [1] - Bell Peppers  [2] - Carrots [2] - Onions [1] - Cherry Tomatoes [250][g] - Garlic [1][clove] - Basil [to taste] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Low,4
91,Spaghetti col rancetto,Spaghetti [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,470 per serving, - Guanciale  [150][g] - Tomatoes  [300][g] - Onions [1] - Pecorino Romano Cheese  [50][g] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
92,Ravioli al cotechino con salsa di lenticchie,Ravioli [400][g],Preparation: 30 minutes Cooking: 30 minutes Total: 1 hour,620 per serving, - Cotechino  [200][g] - Parmesan Cheese  [50][g] - Eggs [1] - Flour [00][200g] - Lentils [150][g] - Onions [1] - Carrots [1] - Celery [1][stalk] - Vegetable Broth [500][ml] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
93,Spaghetti ai ricci di mare,Spaghetti [350][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,600 per serving, - Sea Urchins [500][g] - Garlic [1][clove] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
94,Tortelli piacentini,Tortelli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,500 per serving, - Flour [00][400g] - Eggs [4] - Salt [to taste] - Ricotta [300][g] - Spinach  [200][g] - Parmesan Cheese  [50][g] - Nutmeg [to taste] - Tomato Sauce [500][g] - Butter [50][g],Medium,4
95,"Tagliatelle con bottarga, vongole e limone",Tagliatelle [350][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,620 per serving, - Clams [500][g] - Bottarga  [50][g] - Lemon Zest [1] - Lemon Juice [1] - Garlic [1][clove] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
96,Pappardelle al ragù bianco di cinta senese,Pappardelle [350][g],Preparation: 30 minutes Cooking: 1 hour Total: 1 hour 30 minutes,720 per serving, - Cinta Senese Pork  [400][g] - Onions [1] - Carrots [1] - Celery [1][stalk] - White Wine [100][ml] - Vegetable Broth [500][ml] - Bay Leaf [1] - Juniper Berries [5] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
97,Gnocchi allo scoglio,Gnocchi [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,580 per serving, - Mussels [500][g] - Clams [500][g] - Prawns [200][g] - Squid [200][g] - Cherry Tomatoes [250][g] - Garlic [2][cloves] - White Wine [50][ml] - Parsley [1][bunch] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste] - Chilli Flakes [to taste],High,4
98,Rigatoni terra e mare,Rigatoni [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,600 per serving, - Mushrooms  [200][g] - Prawns [200][g] - Garlic [1][clove] - White Wine [50][ml] - Cream [100][ml] - Parsley [to taste] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],High,4
99,Penne al ragù di trippa,Penne [350][g],Preparation: 20 minutes Cooking: 40 minutes Total: 1 hour,580 per serving, - Tripe  [400][g] - Tomato Sauce [500][g] - Onions [1] - Carrots [1] - Celery [1][stalk] - White Wine [100][ml] - Pecorino Romano Cheese  [50][g] - Extra Virgin Olive Oil [4][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
100,Pasta c'anciova,Bucatini [400][g],Preparation: 15 minutes Cooking: 20 minutes Total: 35 minutes,470 per serving, - Anchovy Fillets in Oil [100][g] - Garlic [2][cloves] - Breadcrumbs [50][g] - Extra Virgin Olive Oil [4][tbsp] - Parsley [to taste] - Chilli Pepper [to taste] - Salt [to taste],Low,4
101,Tortelli poveri,Tortelli [400][g],Preparation: 20 minutes Cooking: 10 minutes Total: 30 minutes,450 per serving, - Flour [00][300g] - Eggs [3] - Stale Bread  [100][g] - Parmesan Cheese  [50][g] - Nutmeg [to taste] - Salt [to taste] - Black Pepper [to taste] - Butter [50][g] - Sage [to taste],Low,4
102,Pasta alla cucunciata,Spaghetti [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,480 per serving, - Cucunci  [100][g] - Tomatoes  [300][g] - Black Olives [50][g] - Garlic [1][clove] - Extra Virgin Olive Oil [4][tbsp] - Basil [to taste] - Salt [to taste],Low,4
103,Spaghetti con cozze alla catalana,Spaghetti [400][g],Preparation: 20 minutes Cooking: 20 minutes Total: 40 minutes,530 per serving, - Mussels [1][kg] - Tomatoes  [300][g] - Onions  [1] - Celery  [1][stalk] - Extra Virgin Olive Oil [4][tbsp] - White Wine Vinegar [2][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
104,Gnocchi di frutta cechi,Gnocchi [400][g],Preparation: 30 minutes Cooking: 30 minutes Total: 1 hour,600 per serving, - Potatoes [500][g] - Flour [250][g] - Eggs [1] - Salt [to taste] - Apricots  [500][g] - Sugar [100][g] - Cinnamon [1][tsp] - Butter [50][g] - Breadcrumbs [50][g],High,4
105,Ravioli di Kamut® coste e bitto,Ravioli [400][g],Preparation: 30 minutes Cooking: 20 minutes Total: 50 minutes,620 per serving, - Kamut Flour [200][g] - Eggs [2] - Chard [200][g] - Bitto Cheese [100][g] - Butter [50][g] - Garlic [1][clove] - Salt [to taste] - Black Pepper [to taste],High,4
106,Mezze maniche al tonno,Mezze maniche [400][g],Preparation: 15 minutes Cooking: 15 minutes Total: 30 minutes,500 per serving, - Canned Tuna in Oil  [200][g] - Tomatoes  [400][g] - Garlic [1][clove] - Extra Virgin Olive Oil [3][tbsp] - Black Olives  [50][g] - Capers [1][tbsp] - Parsley [to taste] - Salt [to taste] - Black Pepper [to taste],Medium,4
107,Ziti lardiati,Ziti [400][g],Preparation: 20 minutes Cooking: 30 minutes Total: 50 minutes,580 per serving, - Lard  [150][g] - Tomatoes  [500][g] - Onions [1] - Pecorino Romano Cheese  [100][g] - Basil [to taste] - Extra Virgin Olive Oil [3][tbsp] - Salt [to taste] - Black Pepper [to taste],Medium,4
